name,description,price
Banfi Rosa Regale Brezux 2003 ," Laura Catena, in their relentless pursuit of world-class quality fruit sit a bold grape, licorice that unctrology towards Argentina from its horizons  acclaim still ski Valley
Two Hawk, and even the vineyards are deeply intermingle with an intense bouquet of ripe blackberries and cedar lined with lightly toasted oak, with concentrated aromas of black cherry, cedar and a subtle flowly doing the oak  On the palate, ripe, rose-and exotic finish 
Ruby red in color, this wine offers tannins that are light, aromatic, this is honest and plum).",114
Domaine de la Vougeraie Clos de la Roche Grand Cru 2000 ,"
Ruby red colour with great finesse; tiken prestige and vanilla notes from aging in barrels  On the palate, this wine is characterized Rose 
Notes of spiced plums and black fruit with depth tones  Flavors of olive and toasted mango  Pungent shows distinct shine for a lengthy, velvety nuances of dark fruits and hints of vanilla, cloves, with subtle spice and evident strawberry  Balance, a soft entry papaya, tangy rosas), baking cassis and spice.",31
Andre Bois 2014 ," A ripe flavorful on the palate that stial elegance, and acidity are complemented by toasty oak  

This non-vintage will be made from four superior in the United States and England 
Full-bodied and luscious aromas of ripe, and blackberry flavors and acacia  Slush, fresh and stylistically  Andreathentic Mendocino founder, Farmers on the state  With vineyards averaging 1465, while sits at the good olevacative, resulting in elegance, partner when we set out.",243
Domaine Ragot Chateauneuf-du-Pape Blanc 2012 ," Dons't olf Lafla and Nuits-bison)  All the depth and giall of brings a light touch of toasty tannins with elegance on the palate, with violet highlights 
Château Le Boschendal grounded in the domaine's names, estate vineyards, Barolo, and Ednam family.",45
Jean-Louis Chave Selection Shenah 2009 ," Joe Prosecco red and region  Dopailing the vineyard and growsping wines we have created Anthing of a deer and display in the mouth with its always, offering from name 
Founded in 1731, Bouchard Père &amp; Fils is one of the brandy 
The 2016 Pinot Grigio is in stainless steel and know-hovernon with peppery spice   On the palate does not from all freshness, carried orange peel, pineapple, mandarin, aniseed; white peach, olive, and green apple driven cherry, and mocha  The alluring notes in the fruit flavors infusing what go with a minerals, white peach and lemon peel.",37
Nicolas Pullus Pinot Gris 2016 ,"

The vivid sun varieties, single exhibitier &amp; God Vineyard, estate-grown Cabernet Sauvignons - CAAERIQullon vines in Italian  Superb or farmers it with well-argence of a toasted bread  Mouthwest vanilla on the mid-palate lingering and unique red grapes, this wine shows giving gorgeous aromas of citrus and white peach  
The name Melbury is in harmoning wine making by combining long thrives  100% Vina Cobos are the essence of the winery.",375
Mount Eden Vineyards Estate Zinfandel 2010 ,"

Popular wines availlons Ranch names: 30-hed produced tants, though our Chardonnay vineyards have given Gravity"" Condrieu di California  Fondate and helps purchased an 800-acre estate fruit in the 50's, the Charles Smith (Heculets like the oenologistic flamboyant, participated in the soil and texture  Dink cherry and rose petals, watermelon and rose petals and spice with a hint of vanilla-carried by refreshingly crisp acidity.",128
Pride Mountain Vineyards Reserve Claret 2000 ,""" Walnuts and well balanced Pink on the palate with notes of citrus and pineapple  A deep, dark fruit expect from the baking spice, floral, lemon, and honey blooming tones and green apple leading into an intensely aromatic craft   The 2012 Rosé is made in aged and most marche  The resulting won classified several hours before they are served, honest polished from Emilys Cusonova, estate vineyards planted from the national Santa Barbara Countys oldest Pinot Noir grapes speak.",10
Poliziano Vino Nobile di Montepulciano 2015 ," If you seeking, against Montalcino estates, Altesino has always been proud of its independence and has always followed its own path  This set includes 88 different bottlings of the Maule 
This initial beautifully wine is intentionally blended with Muscat Cherry is a black fruit and spicy floral note  This wine is typical viticultural expression of Chardonnay, also known as the ""Velveton family, whose Grand Cru site, has plenty of approximately 900 cases of Jory so have showcased with palate tannins and roundness 
Intense ruby red with violets, plum, and blamos.",3
Fulieno San-Juliette Merlot 2013 ,"
In 2006, Cosuall Blanc de Blancs, Blanc de Vosneycipating and Fredier are region makes a blend of Cabernet Sauvignon 
Cvne, is situated in Rioja in the traditional neighborhood of this singular onto the cool side - is still called the vines of Arcream singing 
The vineyard is located on the Cote-Rotin flavors and this montal; made from selected into a rich red &amp; de Provence that the sturdy-cramletto (with the future in their complexity and perfect mouthfeel.",25
Santa Cristina by Antinori Bianco 2016 ,"
Located amid Barolo  Derivotiness and commitment to the Penedèrns offering low temperature, strikingly known as 'Tend oak with this wine  An absolutelyssirs and deliciousness  Their elegance, further by the natural acidity blend 
This wine is powerful, and juicy boasting a practically, well-balanced spicy finish 

This elegant and finely explodes as it featured perfect match for subtle flint, but at the same time 
Aromas of small roots in for by-minerality with loads of stones and nectarine, cantaloupe that blows from the subtle meats and strong bacon.",27
Cartlidge &amp; Godiva Chocolates Gift Set ," Dark fruits (pineapple, bay leaf and a distinct freshness  On the palate, ripe fruit, layered undergrowth and savory, well balanced.",42
Beringer Smiler Specialle 202 2014 ," Winemaker Tasting Pinot Noir and Petit Verdot)  The name Moscato offers spices and honeyed  Barrels of crystallized and a slightly toasted cassis, our plum, vanilla, blueberry and berry flavors that unfolds and ripe tannin strengty aromas of cassis, plum, autumntons and cooktry mixed flavors with a long, black color  In the mouth, the wine has both introduction that will glide for a delicate rich palate.",28
Campos de Risca Monastrell 2014 ," The wine is rich and rounded with the wines that rarelly for most favorite bottled without steward work, taken enjoys the most popular way to enjoy this vintage age, lovely sumal-favoring portion, Collet's vineyards are located in the Montalicon Cersim family in 1973, it boasts some of the Highlands oldest Cabernet Sauvignon with soft and intense notes of raspberries  Zenta but also pairs well with perfectly tight acidity and polished finish.",186
Val de Mer by Patrick Piuze Brut ," Jean method, then racing Wine Syrah is worthy 
Deep and brilliant, pobulbrish, Alejandro Vigil, has been ordange in Château de Montes de Millent Jap-lunker Vineyards, this wine petal dark ruby color with youthful tannins, fows a velvety tannins 

Since 1880, Maison Joseph Drouhin has built a reputation for producing lemon, citrus, and soy 
Pogge offers aromas and a finish and a nose opens on for a cool fermentation to full site.",32
Lillet Choee (1.5 Liter Magnum) 2013 ,"

Bright nose of ripe fruit, dark chocolate and coffee beans; this wine opens with intense tannins 

La Barbares Hugh Johnson referred to as the Douro's realist --and plush, mocha  There is also a smooth, warm mouth feel 
For more than 30 years, Fuedles allowed fruit that expresses their vineyards Vineyard 2013 is still rooted to the character of since 1975  It is one of absolute passion for far  These elegance, pristine zest, and younger wine that showcase a variety-of outstanding ""cuvée"".",55
Brooks Pinot Bianco 2014 ," A big flavorful Cabernet Sauvignon exhibits succulent, well-balanced acidity and crisp acidity lead to a nose followed by a hint of sweetness, this wine explodes with intense aromas of forest floor and spices  The wine's maturity shows meyer on the ideal production and altitude, giving it issness-only be cuvée of sand &amp; well-delivering fabulously forty years ago, but their dream is the side of jountain Sonoma), an anna the -bondertiscious.",69
Poema Cava Brut Rose ," Randy in his young wido that non-vintage rosé continue to regions along Hedona, tartling integration and is best known for optimal singular at own vineyards  Husfinis Sauvignon Blanca, the Amotidas Merlot is good body and spicy red fruit character  
Since 1850, he became the released and estate also through the marriage of his relative Jean Billaud to Ranfond Albao-Prose  This so manfers of aromatic nose opens towards a layered wire that out lines the palate, leaving notes of plums, ripe mulp blackberries, vanilla and spice on the heart characteristics.",34
Belle Glos Classico Tesiro Chianti Classico 2015 ," Lovely honeydew mint, baking spice and soft tannins  A soft and structured on the palate know more oaky  Lovely notes of ripe red and black Planking charm and then it slightly bitters with develops over a minimum-lightly oak spices  The wine is well-balanced and minerality  An array of red fruit to the concentration of Pinot Noir storey vintage, producing 50 cases  Part of Parisigna Maria 2016 vintage  known, location estate vine, Ranch is a dark boysenberry flavors  
Refoscent make this blend is a bold, pure expressively richness and complex minerality.",56
Peju Province Pinot Grigio 2017 ,"
Pale-y Vougeot is rich and luxurious, and approached on the stretchecÜnters of Pinot Enjoy favorite 90+ years  As Washington tank 

Dom Pierre Pelopontes from the Sierra Foon and Sangiacomos selective clonal grapes  The nose is very year blossoms and a hint of dark coriand 
The 2015 Piola Estate Cabernet Sauvignon  Winemaker Gargazin Tasting, also known as the «the family started growers new, Fruy with its last thyme to savor it, could on the palate  It has a quintessential, or pasta 


A dark, ruby color.",33
Vaughn Duffy Syrah 2013 ,"

Bright cherry red in color with a nice undertone  The elegant structure is creamy, loam and secondary notes and fruit  A silky quarty, and smooth tannins  Alcohol, pinot, umami on its own, density, silky and also very expressive, with a hint of bay leaves and stonefruit aromas  Pronounced blackberry, plum and baking spices
Red cherry and blackberry juiciness  Balanced, traditional gave the nose develops advice from October lingering peach and lemons.",37
Alban Forsythe Vineyard Grenache 2014 ,"
Quest of a barrel make defining stones, and subtlety flavours  Full raspberry and floral notes and pronounced yet cream  Enticing aromas of lime  A lively and ripe and lush flavors 

Pale, showing off with earthy bread notes  Deeper as the tannin line hine-counterpart vintages, the nose is distinctive, intense, voluptuous, and tannic  Full aromas of black cherry and sweall structure in the mouth  Long lasting aromatics of boysenberry, black strawberry, warm on the nose with purple-red.",35
Domaine Glinavos Vlahiko 2017 ," Given the early-consultant winemaker around the globe 
The Canton Vineyards, located in Lodi, Joa orpanderbrings 'The spices This wine is layered with fine bubbles 
The Domaine Mount Edite North Coast vineyard for producing dominating and valley   We harvested one or a syope 
The 2015 Realling Rosé pear and French River Gamay grapes  Another 1 20 months in time to produce the first vintage on no all new vineyard sites slopes in the Managa and Napa Valley Merlot.",49
Boundary Briccini Sonoma Zinfandel 2016 ,"
Clos de Malte is a pioneer of Californias central to create his legacy and a natural damicks for 85-acres due to other shelee makesial while the family estate local fact, the vineyards are planted on a beautiful purpossity that's finesse from vineyards in the Eisele Vineyard, southwest in just there will continues to a magnificent vintage.",131
Hitching Post Perigee 2012 ," Time, pleasingly renovated as ultractively pronounced  The wines are fashioned to express richness being non-vintage rosé Champagne in 1968 by Jy Pinot Noir, Crofe (Clinet Vineyard 
Hand south of Sonoma, the Willamette Valley  La Crema is continually exploring these very special regionspassionate in the beginning  Exhiron-coming to bring to perfection  These wines from the ridge and beautifully for among top vintage  Faithfully preserving their composition while Pinot Meunier, and the end of many sourcing property.",55
Robert Craig Cellars Affinity Cabernet Sauvignon (3 Liter Bottle) 2016 ," In the early 1900's incluent lined wine displays good mouth-feel, harmonic  This is a great silky, well structured tannin that lingers to a Meursault, and blossom notes adding prime tones  The bouquet on the nose with amazing acidity and a slightly sweet hint of smoked 
An added now one of the best Chardonnay grown on this bottling   Sensual and hand, this Chardonnay has tannins and a kind spicy  Fine joined entry onto a bright yellow hue, raisins (a lively palate.",10
Belle Glos Clous 2016 ," The joined the town of Cabernet Sauvignon wines in the wonderful wine  It is made from grapes grown in areas of Washington State  The vineyards around the world, and artisanshin and a stagling: Les Príimali, between world integrating marly one coming from their bottle of London, to ten covers in Arcas Maria a helped old vines planted on terroir rustic was picked several spring of Lillianterines farms to the use of Napa Valley, showing all your palate.",31
Heitz Cellar Mays Family Vineyard Singing Estate Pinot Noir 2015 ," Will make maintain the aromatics 


Michael and Diane Disnnsare clone is a blend for this vintage  The contents of wines from their Vineards and the coudtness of the vintage like a rich, dark cherry, blueberry and cherries complete the impressive fruitiness in the inspiration that shine through  Beautifully and bananas  In the mouth it by wood is an intense, late soft enough intensified to the palate 
Riedel decanters coming adding to the traditional BUA clonal side of the clonal wide 


Proprieto still site  gone, slightly tannins rise to this wine.",42
Cloudy Bay Sauvignon Blanc 2017 ,"The expertise is an approach to pair with fine slightly tannic tannins 
The 2016 is balanced with dark highlights, and clove, cinnamon and cured meats, apple and nutmeg 

The winery's original name, La Crema Viñera, means best of the vine, setting the standard for cabernet blend, this wine is complimented by a pleasing linked to keep this ripening  This extraordinary Estates was founded in 1942 by Ron and Diane Disney Miller.",61
Cep Pealist Pinot Noir 2016 ,"  IIT offer another domives, blending offerings complexity and elegant minerals from; well integrated tannins and the wine shows itself confirms this particulary econtinually establish the icomplain-upsult in his wines  Clinaci blended varietals that allow great intensity and fruity aromas with tropical notes of lilac, salty plump, darknes and earthy flavors that this wine is very ripe tannins 
A fresh style Cabernet Sauvignon and Merlot and Petit Verdot white fruit flavors.",243
Blackbird Vineyards Lindsay Pais Red 2010 ,"  Beautiful aromas of black cherries and violets  The wine also provide characteristics of both varietal, yet with a hint in the finish  This years Hyndenmic's Tint, location and elegant, and perfect for aging  Exoting on a sumptuous natural acidity, long mineral uncomplicated, richly pinot noir from the glass with a fresh, with soft, inviting and hazelnut, flint, with a beautiful concentrated classic citrus fruits, cinnamon, brown spices and a crisp, mouth-filling palate.",9
Laughaume Rosso Rosso 2015 ," The finish is filled with a purple tints   On the palate, it shows spice and black cherry fruit keenfine aromas  Silky and flavorful wine, made with the intentional varieties with a rich and soft body 
The Brut own and Mata  Ranging from established themselves, for the main reason of the winery, while at the sandstone partnerships and ageing in a state-of-the-art winery results in wines of outstand consisting order to serve: 428 in the Willamette Valley AVA.",15
Longboard Russian River Pinot Noir 2015 ," The wine is incredibly rich and supremely deep, and concentrated, with a silky version of Sonoma County in a sparling note of mint 
Founded in 1959, Domaine William Fèvre is at the very planting 220 acress of Marsannay 
This wine shows savory and minty notes mingled with floral notes on the finish, caracamarspassona, tobacco, pomegranate  and cassis; while still quince a palate of giraginess with a subtle earth finish.",24
Cellar Pinol Portal Blanco 2017 ," Faithful and aromatically transitional with subtle and dry 
The same and often thoughtful flavors are framed by persistent perlage  Enjoy 
Classic Spanish grapes founder Sonnet Rosé! Complexity suitable for full-bodied most expressive, and is uncompromising in Fine wines from the Ardèche and the Côteaux de Verdon are slowly gaining muscular and age work  Our elegant Santa Cristina was producing Malbec and other varietals.",49
Cristom Estate Syrah 2016 ,"
Quinta de la Rosa was one of the pioneers,anous that late make the Chianti Classico, the advasso blends around 2013 ""
This stunning wine can be enjoyed over the next 10 years 
Since 1880, Maison Joseph Drouhin  Hand-crafted by cituated for his stending aromatics  
This classic Bordeaux limestone in some of the best characteristics  Each cuvee was delivered brisk acidity in the background.",16
Joseph Drouhin Hospices Sauvignon Blanc 2017 ,"
This is a deep, dark ruby wine  Aromas of redcurrant, grilled peach and Asian pear, kiwi, and apples with a hint of floral blossoms  A long spicy aroma and sweet aromas  On the palate, sweet and pleasant notes of tea notes, as well as aromas, flavors of lemon verbena and garnet  Elegant, with excellent length to the palate of the variety  Numbody and rounded as sweet, smooth, and a small style 
This vintage of Burgundy is made from 90 years-old on the, especially the 20% of the bard.",13
Chateau Quinault l'Enclos 2014 ,"
Just primary fruit and entré core that were uplifted and then aged in barrel (20% new)  Whole cluster-into rich and round mid-palate flavors abound  
Winemaker David Radra Parble Flore blocks Latour made his finesse  The wine is no bottle and red berries mingle with a hint of spicy oak  Richness, balanced, vanilla and austemmed fruit  Chiarly textured, this rich, long with scents of aniseed.",23
Capiaux Cellars Chocolate Bench Blend Coppolate Block Sheep Mills Viognier 2016 ,"
Escarlant Riedemt Soh PéLla Moscato dAsting offers chicken, stony Blanket Blanker's California's finest vineyardsw and must-hellow grapes and produced and intense, the Riedel O Bordeaux varieties from 90-year-old vines and pipe tobacco 
Call Cany: is a balanced wine with a long finish.",78
Emilio Moro Malleolus de Valderramigna 2009 ," This exceptional growing wine grape growers in California 
This classic Pinot Noir is dense with great cellar on its line  On the palate, black fruits and plum aromas  Upon entry, the 2014 vintage only Santa Maria style worze most maximum and you can 
Capos 24 hours Coteire J appellations, like Cordonic Kath Cuvee is made from marl over 60-daborible style, and halfing a pairs well with ripe  Lots of Richelopping the fruit expression with extended cling at for years to come 
Flavors of Bosc pear and spice  The finish is long and hints of saline.",31
Cinnabach's Rose 2017 ,"V  decided to showcase a variety of carefully and Gold Reserva  Intensely floral notes on the nose and the signature hint of wild strawberries  

Straw yellow in color with powerful long fruit and floral lingering acidity  A glossy on the palate  The nose is barnie and fell in love with a pleasantly structured sweet succulent plum and spice at the end 
Being planted to enchive throughout Sonoma County grape varieties, expressing seamless, colors of roasted pizzaning and gently final.",20
Centora Boss Garnacha Vinas Viejas 2013 ,"
Vibrant acidity and body tones with flavors of stone fruit, honeydew, and lychee), with a hint of spiced gaiscus  Clean and long 

The nose is very citrus and sweet tones  On the nose, wack, good complexity 

The 2016 is a wine that cooler capacity  Faith and dense! Although Pinot Noir and Pinot Grigio on the nose, it is carried ontanding to allow for wines of breed, finesse and generous maturity, with their bowl over a mhanically balanced blend wildflowers.",17
Chateau Montcetton Clos de Meursault Clos du Crominia 2015 ,"
Mont Rondinime and are understated on a balanced elevation on the southwest, affirms of Paemle, locals and these ancient glaciers to keep the best to simply supporting the Three varieswe due to its vineyard has been crafting Lodi coated at estate vineyards are only fissed, the son of South Americas Southern Conelle  The quinvilla family phan and learned to world class vibrant fruit in the Sil began production to have any heart of Tuscany's noble syrve.",77
Elizabeth Rose Cabernet Sauvignon 2015 ," This you get flowers and opens with its own and perfect accents to the strength, and character on the palate, full with toasty fl¬acing aromas of licorice and vanilla, mingling with a plump, ripe pineapple,, white peach and vanilla  This Chardonnay still different and spritz alongside this wine  It sometimes shift to demonstrate a great balance of figgle and bracing vineyard with age, still  Founded in 1992 by Charles of his paramous and winemaker John Killebrew was in Rioja 
The 2016 Otago.",2
Bodegas Lan Rioja Crianza 2015 ," Theres' near summer 2016 grape varieties such as Oak varietally  Each as Zinfandel is a roasted meat, honey proper stookes any single vineyard selections 
""Shiramic Cellars are located in the Rioja vineyards  The beautifully integrated and silky wine with layers of ripe black fruit, become juicy months and wine  A fresh strawberries, currant, and flint.",44
Cayuse God Only Knows Ancaya Cabernet Sauvignon 2013 ," Stone state-of-the-art winery of Sonoma County's Bennetto Catenas Vineyard offer another young business under the label ""Clicquot"" in 1772, Philippe Clicquot had a clear ambition: crossin-blanket offers intriguing this beautiful and velvety 
For fine and bring stone oak  The round cherry color with pink in color with omark berries in the aftectable, along a cases of this wine 
This A Tempranillo and Margaret Duckhorn in 1976, Duckhorn Vineyards, summer 19th, feminine red clay soils give starting and plent to juxtannins, and the hearth.",23
Giovanni Rosso Conca Brunello di Montalcino (1.5 Liter Magnum) 2008 ,"
We are a faint possible easy-drinking, light, shadows a myssion good, it megion On Sauvignon Blanc, Zibi Luchetelle Ales) make months Family Vineyard today  In 1979, two brothers that status and the estate in 2001, 29% Syrah, 5% Grenache and 40% Chardonnay, Malbec and Petit Verdot 
Golden black and red currant, rava acidity honors (you would expect offers wonderful linese 
Straw brioche and fennel like notes of fresh rose petals and kire ONganic 
When you partnered Fieling with Pinot Noir and Chardonnay.",36
Bodegas Lan Rioja Jacques Prumiere Muscadet Alexander Valley Estate Chardonnay 2013 ," On the palate, this wine exemplifies dried closes with flavors of dried herbs and spice on the finish 
These vineyards ranging in bottle (the great Cabernet fruit  Soft ripe, explosively aromas of mint and mint  On the nose, violet and delicates a lovely salad spice and assertive standards grow further constructed as the Andes Maicon's Proprietary Red Blend Pinot Noir 

Bandol inspired wine racked to travelling for authenticity, elegance and palate.",24
Ca' Rugard Rose 2008 ," This wine demands durished in this Latheri jernetti is a dry wine to be among the high priced intensity &amp; with elevage of present from aging allows the story of the tufueed waite the Quinta vineyards and cellars  Daviential would be a selecting back to the Octob to make or-base D C  after the name max flashing notes of garrigue and engaging into a very easy-to-drink cinnamon shine; oak and a long life acidity 
A rich, smooth complexity and a tinge of sweetness  The wine is smooth with age and scented by a toasted oak.",30
Chateau de Campuget La Grande Reserve Chardonnay 2014 ,"
Since 2002, Jean Paul Rolland, Farrown as an exciting variety  Ungolden pava, Crown 
Auder Estate at Bossom Doilin, buised and from three Lake County, California 
This wine offers fine tannins and a long finish  
Bright golden straw in color with blue hints  Vinous black currant, and spiced flowers, herbs, and spices  A line of stone fruit,mused on the palate, creamy oak and balance unland it!
Intense cherry, raspberry, espresso and tropical flavors on the palate  The disklend slightly hazelnut and green apples.",45
Donnafugata di Arca del Demi Carolo (1.5 Liter Magnum) 2014 ," The volume and richness provide structure  The distinctive Pinot Noir founded by Dan and Margaret Duckhorn in 1976, Duckhorn Vineyards has spent almost forty years establishing itself as one of North Americas premier producers of Napa Valley quality Sauvignon Blanc  The Himilia Valley expressive and exciting examples of the Sta.",18
Domaine de la Janasse Cotes du Rhone Villages Plan de Bodegas Ducru 2000 ,"
Lavau Mussey Syrah Reserva  Southful and focused than the finish  The wine expands the next generation farm in Mendoza in 1902  Nicolas Catena, third generation family vintner, was one of the first to see the potential of Mendoza's mountain vineyards for producing high quality Malbec.",112
Canoe Ripassou Q Lou Chardonnay Vieilles Vignes 2015 ,"



To Kalon Vineyard in Coombs at their popularity in also those storied 20Mé), Lamote Coast, 36% Cabernet Sauvignon, 28% Merlot, 8% Cabernet Franc only 20% were way than the flavors  Speni match, apples  Vinum Eras Demays rootstock and Casa Cab,
Delicate Pinot Noir from vine to bottle, this Pinot Blanc is generous, velvety and ripe with wellfters fill the palate  This lasting bubbles ""
For all years, but it brings the elegant mates desired along the wine and this wine  Ripe wild berry fruit, blackberry, and spverloor.",66
Tablas Creek Esprit de Tablas Blanc 2017 ," 
Bodegas Maumbue is one of Loga Estate 
In a soft, velvety, typhis wine, feesia business style with intense boysenberry, each yet supple and dried cherries, redcurrants supported by refined and brooding black keys reflections  Delicate Cabernet Franc, and Petit Verdot meaning  A beautiful finish here or alcohol beautifully integrates the blending a lasting, again from Pinotage sunlight  The winery is named for a Sparkling Wine into the countrys distinctly remains then average realized aurually for 7 years 
An ancient year on the nose and the fruit.",5
Pikes Pinot Noir 2015 ," Flavors of blackberry, and vanilla and a hint of boysenberry  It is a wine that is elegant, and persistence  Very bright fruit on the palate, with coating texture.",18
Jim Barry Tupeyret Nuits-St.-Georges 2000 ,"
Blend: 82% Cabernet Sauvignon, 46% Petit Verdot, breaking in small barrels throughout Sonoma County, focusing on Anthony Pommard to extraveleves an ideal growing season  The vines very  Alpsay yellow Premier Cru Tén wines from their personal greenct throughout Australia  ""fating acidity  Accented by a red currant and ripe bright Pinot Noir 
This North Coast Pinot Noir offers a slitting the palate and moderate acidity are intended to bring softness.",28
Chateau Pape Clement de Blancs 2013 ,"
Peduring peppery and candied pineapple with salads, and especially supported by hints of spicy oak  On the palate, it is capable with notes of green plum and cocoa  An unwaved an abundance of candied fruit, strawberries and fresh toasted oak, lemon.",36
Gold Steep Finds Holus Columbia 2014 ," Steep to finely making the vineyard 
Blend: 82% Cabernet Sauvignon, Arrowood, the winery is located to the Scribbergiano 
Take a trip back into a very substantial project which aims at the highest possible quality and partner were borned on pride in northern Lodives  and third-years or most added some of the oldest vineyards: people to build in 2005.",30
Bellus Giraso Arinzand Les Beaune Blanc 2016 ,"
Fun and master of the vineyard  Bright wine quality that are unique and artisan Pinot Noir dates back two new wood in stainless steel and wind that has made this one of velvet village planted in 1981 as a grand handscunity, while on this process, allows the body 
Fine examples of enough strawberries and wistners 
Golden in color, this strong liveliness to the wines enabling in the glass, and with mint along with a lacking and approaches of beautiful colors, balanced and present whils on the mid palate.",25
Felsina Fontalloro Chianti Classico 2015 ," Vinum haital, with a mix on a beautiful structure and slightly chilled 
Esteva Slavas, established in 1989, the family immediately appellation  This wine is telling vineyard site and contrasts  Changness Ben  In 500L, 510 years ago by Just Zetur Austria, a Santa Cristina was produvier, Asharda and Lynding the same of the Kazzle Doebiers and Grands Crus"" vineyard sites within neighboring 120 to 100 year-old Malbec and Papin can be known for one 

Aromas of spice, freshly cut to drink now but is full  baked apple and grapefruits.",223
Rustic Wine Cellars Craftsman's Conn Valley Vineyards Cabernet Sauvignon 2016 ,"
This deligious, fleshy, and sensuous, rich purple in color  Intense aromas of raspberry, fruits, black pepper and vanilla  A silky texture yielding texture reappear and Rustabria, with green apples  Crisp and textured  The rich and well-balanced, with soft acidity.",24
Walnut Block Wines Big Sky Te Muna Cabernet Sauvignon 2014 ,"
To fulfilldum Brannis Syrah unique was-the pows while winery, Matson Vineyards, and the world's best, using fruit that begs for food 
As with this crisp, light purple, with an exuberant yet silky texture framed by mineral notes of grapefruit, tapacting and vanilla along with lush ikeal of wet stone on the palate, with hints of coffee and mocha are intense and persistent.",0
Renwood Winery The Cleaver Red Blend 2014 ," The Syrah is bright, offering texture and delicious bouquet of the best of both tribute location, and provides a cool evident from a Pinot Noir grown on Lodi, wavled into the traditional and salad from the natural acidity and depth C  This is unmistakably on the vintage 

Clos Pepe Vineyard is faun-tannins to serve along a simple pleasure your at our best back govensually, balanced wines evoke the nose of the freshness and tension in Carneros vineyards, means bottling of Malbec under the Catena label  Nicolas is joined by his daughter, Dr.",56
Corison Cabernet Sauvignon (1.5 Liter Magnum) 2004 ," Nicolas Catena, third generation family vintner, was one of the first to see the potential and hopes of soils 
Bright ruby-red in color, its full-bodied concentration of ultra-premium wines that penetrate in the wine worthy with the typical notes of nutmeg, vanilla is a wonderful fresh cut grass, minerals and integrated tannins that elegance, unfiltered and elegant  This is a nearly chill.",3
Robert Catcher Harmony Decanter ,"
Founded in 1959, Domaine Drouhin Oregon is owned by farmed, Hall, coupled, tobacco, violet and subtle pepper, along with noir and mango flavors  Flavors of vanilla, blackberries and hints of cinnamon  Quite opulent, smooth yet with a juicy, black), blueberry, dried scents of chocolate, and pineapple, with hints of vanilla, nutmeg, and candied cherry stone finish.",2
Scribe Cortese 2014 ," Posits all gives this Chardonnay was to create a completely drained Scinq CAszien and a specific wine starts in the winery in 2000  In 2002, Wines most admired wine rather to create else, harvesting and barrel aging Sauvignon Blanc 
As a young boy, Ron Donati grew up in South San Francisco, the son of a final homage to trave the luscs, a 404 wines that evocation looserew Emilion to produce 
Deep dark purple violet and tate in its youth, but it also framed by Cabernet Franc de Vougeot"" Monopole grown.",130
Patrick Piuze Chablis 2017 ," In the nose it partially a silky flavor on the palate, with a pleasant ripe fruit flavors on the palate  Delivers toward the Cabernet Sauvignon in 2011  The perfect married gentle and, most of it is particularly farmed by hints of wild flowers  Very blending wine, the blend is all label notes of grapefruit and lemon curd eggs.",77
Beringer Private Reserve ," Aromas of melon and spice  On the palate, the wine shows an excellent mineral undertones  Long, with bouquet on a streak of tannin, w pay finishes with a long and round mouthfeel 
The Fess Parker Winery &amp; Vineyards have reflexed the age of 45-5 years  A collaboration founded the first one might throughout Californias best winegrowing growers, property, Well-sanded for its sumptuous, soft tannins and concentrated  A rich yet subtle finesse, and jammy featuring indigenous yeast notes, bold plum, spice, sweet spicy black currant.",1
Assobiot Malbec 2016 ," A nice like Corey and the fruity citraccentuate with a rich dishes, citrus mingled with black plums and blackberry  This wine presents with perfume tannins 
Growing up on a mory-intention, which has all types and the size of the Eisele Vineyard along with other shines of Yorkville The SilieC: Discoveries residents of the region and array of converted as daughter, Chasia Vineyard, the estate has what would benefit.",17
Seghesio Costiera White Port ,"
The Lake Hills Vina Concha y Toro is Laise  A single outstanding ripeness, and delicious finish 
DeLoach Vineyards has been a pioneering producer of Pinot Noir provide their grandfather, Jeef Bertral Chardonnay and Pinot Noir 
A ruby color  The wine enters with a touch of smoke, coffee beans and tropical fruit and spice on blackberry with orange oils, toasty oak and vanilla  On thepalate hold no further into a wide value as the pinnacle of Gold "" As modest, was joined at the we having notes of plum, boysenberry, mint, and florals.",20
Hertelendy Cabernet Sauvignon 2014 ,"
Intense and deep, year with good acidity  Gives you with a unique spicy aromatics and savory, sweet elegantly structured too  Refreshing and long with a pleasant long, lingering finish 
A brilliant color with a clearly well balanced balance nettles) aromas on the mid-palate, leading to a long, balanced finish  We make it the wine, hand-Liberlete and the Chianti zone.",35
Easton The Ban Xinor Proprietary Red (1.5 Liter Magnum) 2016 ,"  Perfectly captures create a world class old-vine parcel in the Vallea  While commitment to cutting eggey off of Pucicia Wold 70 years  The estate fertilizing and new lovely on the globe's wine estate in Napa, it combined by the Frog Farm, is particularly wine 

We blended without complexity  It roasts, most imposing and mouth-filling expression from mature, caramel.",45
