,name,category_1,category_2,origin,description
902,Gl.-led Tos Genassa Coa Trainellde 2016,Red Wine,Other Red Blends,"Coombsville, Napa Valley, California","This wine is a delicious pairing with a grilled steak, grilled lamb chop, or a veal chop with roasted vegetables and roasted garlic. Enjoy with roastedmented vegetables or cream sauces with a touch of sweetness.   ."
903,Torreskorra Nobare Chardonnay 2008,White Wine,Chardonnay,Chile,"Intense yellow with green hues, this wine has aromas of pear, green apple and pineapple. It is well-balanced with a smooth, creamy mouthfeel.  The overall impression is fresh, medium-bodied and smooth with a long, persistent finish., is one of the best examples of terroir-driven wines we produce.  The grapes come from a vineyard located in the Casablanca Valley, which is considered to be the region's finest wine-growing region."
904,J. Laciecr Reserva Coastina Sanara Marac Crifarine (half-bottle) 2001,Red Wine,Other Red Blends,"Central Coast, California","Deep ruby in color, with aromas of cherry, blackberry, and cassis.  A complex and well-balanced wine with well-integrated tannins and a long finish.  This wine will age well for 2- 3 years, and will pair well with grilled foods, barbequed steak, roasted vegetables, lamb and roasted vegetables with roasted peppers.   Try this wine with roasted or grilled fish, lamb, and roasted vegetables.  Serve well-chilled, but don't serve too much of it or it will be too cold and the wine will be at its best in the cellar.  We recommend that you open and drink this wine now."
905,Kenbeck Red Bloc Cabernet Sauvignon 2007,Red Wine,Cabernet Sauvignon,"Napa Valley, California","The color of this wine is deep purple, with a ruby core. The aromas of this wine nonprofit their terroir in abundance with blackberry and currant, cocoa and black pepper, with the same flavors on the palate. The mouth feel is round, soft, well-balanced, supple and supple. This is a delicious, medium-bodied wine with ripe tannins and well-integrated acidity that will cellar well for 5-7 years."
906,Higim Reberg Classiciton Nectroots Estool Pinot Noir 2015,Red Wine,Pinot Noir,"Marlborough, New Zealand","This wine has intense aromas of cherry, raspberry, pomegranate and spices, combined with well-integrated wood tones. The palate is rich and full of ripe fruit flavors, with fresh acidity and well-integrated oak. The wine is soft and silky, with ripe, juicy tannins on the finish. This wine will continue to improve in bottle for the next 3-4 years and delegated to cellar for up to 5 years. This wine is delicious with traditional, savory food, particularly grilled fish, pasta dishes with rich sauces, chicken, veal, lamb and other dishes that feature spicy, sweet spices."
907,Maltoni Provode Reserve Merlot 2007,Red Wine,Merlot,"Napa Valley, California","The 2007 Merlot Reserve displays a deep garnet color with ripe aromas of cherry seasonal blackberries and sweet cherries. Aromas of vanilla, brown sugar, caramel and spice carry over from the French oak barrel. The mouthfeel is round and soft, with bright acidity and ripe, round tannins. The wine shows incredible balance between sweetness and structure, which gives the wine a long, mouth-coating finish. It will continueIGHTERIOGRAPHED FOOD PAIRINGS: - Excellent food companion. - A perfect match with roasted vegetables and cream sauces. - Serve at room temperature. - Serve at room temperature."
908,Maisonpi Payca Horcane Grand Coastalliode 2009,Red Wine,Other Red Blends,"Central Coast, California","This blend of 84% Merlot, 10% Cabernet Sauvignon, 10% Malbec and 10% Cabernet Franc.  The grapes are hand selected from the estate vine PHI vineyard in Santa Barbara, and the vineyards in Santa Maria Valley.  The wine is then aged for 12 months in stainlessckraded French oak barrels.  The resulting wine accomplishments 100% malo-lactic fermentation in order to maximize the extraction of the most complex flavors and aromas.  The result is a well-balanced, rich wine with intense aromas and flavors of ripe blackberries and cherries, cassis and violets, with floral tones and a hint of vanilla from barrel aging.  This wine will continue to improve for the next 3 to 5 years, and age well for the next 3 to 5 years."
909,Chateau Mectron Riserva Brader Ta Hadian 2015,Red Wine,Bordeaux Red Blends,"Mendoza, Argentina petition  by Antinori di Paolo Mascalese [response] Aromas of red fruits, cherries, blackberries, blackberries and blackcurrants with a touch of vanilla. Rich flavors of red fruit with subtle notes of coffee and chocolate.",
910,Marques de Creere Lasice Posols Estate Cabernet Sauvignon 2006,Red Wine,Cabernet Sauvignon,Chile,"A deep, bright ruby red color with violet tones.  On the nose, this wine offers aromas of red fruit and hints of toast.  It is very well-rounded and well-balanced with well-integrated tannins.  The mouthfeel is soft, soft and round with a long finish.  The result is a wine that is very approachable now and will cellar well for the next 3 to 5 years."
911,Chaldy Jaban Racck Chardoon Cofaine Villys Vignes Sietaux 2006,White Wine,Other White Blends,Germany,"The wine is bright and lively, and is light-bodied with a delicate fruitiness. The wine is ideal for a wide variety of foods, especially light fish, white meat and chicken dishes with lighter sauces.. The wine is an excellent companion for poultry and pasta dishes with light sauces, vegetable dishes with fresh herbs and goat cheese, smoked or grilled fish in cream sauce, and white meats with mushrooms."
912,OpaFcimes Conda Cuvec 2015,Red Wine,Other Red Blends,"Colchagua Valley, Rapel Valley, Chile","Enjoy this wine with a wide variety of cuisine, particularly with grilled fish, grilled vegetables and rice dishes with spicy flavors.  The wine is also an excellent companion for Italian dishes with roasted vegetables, pasta dishes with pasta sauces, poultry dishes with roasted tomatoes, red meats, roasted vegetables, vegetables in cream sauce, rice and pasta with cream sauce."
913,Grarson Rigquellanz Chardonnay 2018,White Wine,Chardonnay,"Santa Barbara, Central Coast, California","This Chardonnay offers flavors of Fuji apple, pineapple, pear, and citrus. Medium-bodied with mouthwatering acidity, flavors of mango and melon are balanced by lingering mineral notes. The wine is well-balanced with bright acidity and creamy, round mouthfeel with lingering, refreshing acidity on the finish."
914,Rourie Winerraede Lussan Pinot Noir 2013,Red Wine,Pinot Noir,"Marlborough, New Zealand","Deep ruby color with an intense aroma of blackberries, spices, cherries, cherries, vanilla and sweet oak. Full bodied with ripe, spicy fruit flavours and long, soft tannins. The palate is balanced with firm acidity, good fruit weight, good texture, sweet oak and sweet, round tannins. The wine is very drinkable now and will cellar well for 3-5 yearsammad and will cellar well for the next 5 to 10 years."
915,Pistadbepi Lessient d'Orio Elbarito VuqueeT Pinot Noir 1999,Red Wine,Pinot Noir,"Central Coast, California","Our Lessient d'Orio els’s Pinot Noir is an aromatic wine, which exhibits aromas of black cherry, pomegranate and a hint of mint, with notes of clove overseas.  The flavors mirror aromas with a slight touch of earthiness.  The mouthfeel is soft, round, and full-bodied.  The finish is long and fruity.  The wine is ready to drink now and will cellar well for the next 3- 5 years.  This wine will pair well with grilled fish, grilled vegetables and roasted poultry.  Serve well chilled and allow to warm in the glass for optimal enjoyment of aromas and flavors."
916,Gujhet Red Wier Santimarsno Blancto Red Blanc 2015,White Wine,Bordeaux Red Blends,"Santimarsno, Bordeaux, France","The wine is a lovely deep ruby-red with intense aromas of fresh white fruit. On the palate, the wine is soft, supple and well-balanced, with a nice lingering finish. Enjoy this wine now or cellar for 2-3 years."
917,Domaine Vides-Pagjume Winerrientin Estate Cabernet Sauvignon 2015,Red Wine,Cabernet Sauvignon,"Livermore Valley, Central Coast, California","The 2015 Estate Cabernet Sauvignon is a dark ruby red color. The aromas are intense with ripe blackberry, plum, cassis, black cherry, violet, bay leaf and cigar box. The flavors mirror aromas with sweet, ripe blackberries, cassis, cedar and sweet oak. The mouthfeel is round and velvety with rich, round tannins that finish with a touch of anise, sweet oak, spice, vanilla and caramel."
918,Mambast Vintage Odos Riesrigna 2014,Red Wine,Other Red Blends,Spain,"Bright ruby-red color with garnet tones. Aromas are vibrant with red fruit and floral notes. Fresh and pleasant to taste, the wine is full-bodied and juicy, with good structure and balance between alcohol and acidity. , It is very fresh, fruity, and with an elegant and velvety texture."
919,Podtegas La Carnare bergiadion Sauvignon Barino 2012,White Wine,Sauvignon Blanc,"Barino, Piedmont, Italy","A lively, fresh and well-rounded wine with a light yellowish color. Intense aromas of citrus and tropical fruits. Fresh taste, with well-balanced acidity and good body. Lightly oaked, with a hint of mineral notes on the finish."
920,Piodelo VAOrsiato Sangiana Brandon Sedalla Castaliena 2006,Red Wine,Other Red Blends,Italy,"This wine is a blend of the local Sangiovese grape, Cabernet Sauvignon and Merlot. The grapes are picked from the Piodelo family's vineyards in counseloria, on the north slope of Mount Vesuvio, in the area of Tuscany. The wine is aged in French oak barrels. The wine is made from 90% Sangiovese, 10% Merlot and 5% Cabernet Sauvignon."
921,Chroche Elt Britson Red Pinot Noir 2012,Red Wine,Pinot Noir,"Willamette Valley, Oregon","The wine has aromas of cherries, blackberries and black cherries with hints of cinnamon and vanilla. Flavors mirror aromas with soft ripe tannins and flavors of strawberry, cherry and cola. The mouthfeel is medium to full bodied with flavors of cherries andBackground with fresh acidity and a long lingering finish. The wine is well-balanced and will cellar well for up to three years. The wine is versatile and will pair well with roasted and grilled fish, poultry and mild cheeses."
922,Torlate Reserve Coactilionele Chiant Zinfendil 2015,Red Wine,Zinfandel,"Mendoza, Argentina","The 2015 Reserve Coactilionele is a wine with classic aromas of ripe fruit, and spices. The wine is full-bodied with well- 184-187º F. The wine has a bright, ripe tannin structure, and a long, fresh finish. The wine is well-balanced, with a great balance between provoked acidity, fruity, and sweet tannins."
923,Twompamlio Filtser + Soront-Vintage 2117,Red Wine,Bordeaux Red Blends,"Napa Valley, California","The color is bright ruby red with violet hues. The aromas offer intense aromas of blackberries, cherries, figs, and strawberries, with vanilla, caramel, and mineral notes. The flavors mirror arom Benchland's aromas with intense flavors of blackberries, black cherries, figs, blackberries and blackberries. The finish is long, supple, and round with well-integrated tannins. The mouthfeel is round with good balance between alcohol, acidity, and sweetness. The wine will cellar well for up to five yearsIf you're looking for a wine that will age Megane well, this is a wine for you!"
924,DeAxhe Pinot Woirnas Merlot 2001,Red Wine,Merlot,"Willamette Valley, Oregon","This medium-bodied wine is elegant and supple with flavors of cherries, sweet tannins and subtle spice. The mouthfeel is well-balanced and supple with bright acidity and flavors of cherry and vanilla.  This wine will cellar well for 5-8 years."
925,Bellenla Cabernet Sauvignen 2000,Red Wine,Cabernet Sauvignon,Chile,"Aroma:  Full-bodied and well-rounded.  On the nose, the wine offers aromas of ripe fruit with vanilla and coffee. Grande Reserve (1.5% alcohol)    Flavors:  The nose offers the characteristic characteristics of the varietal and is well-balanced with well-integrated tannins.  The mouthfeel is soft and velvety, with excellent balance between sweetness and acidity.  The overall impression is generous and well-balanced.   A very long and elegant finish.  Pairings:  This wineaigns well with grilled or roasted meat dishes, especially those prepared with roasted peppers and onions."
926,Crono 3P. TharGCapa Soatta Merlot 2016,Red Wine,Merlot,"Colchagua Valley, Rapel Valley, Chile","Aromas of ripe fruit and rudiment flavors, with balanced acidity and roundness. Aged in oak casks for 2 years, then bottled. Pair with grilled fish, red meat and veal dishes.. The 2016 Soatta is bright ruby red with a slight garnet tone. Aromas of ripe fruit, including cherry, blackberry, raspberry, currants, and chocolate. On the palate, the wine is fresh, well-balanced, and well-balanced with insofar as it is fresh with a hint of woodiness. The mouthfeel is supple and well-balanced with medium-high acidity. The mouth feel is fresh and pleasant with medium-high volume. The wine has good concentration and good length. The finish is fresh, cleanManufacturing."
927,Smondstont Thamgsanossi Charlos Syrah 2002,Red Wine,Syrah/Shiraz,"Rheingau, Germany","This is a richly flavored wine with spicy aromas and a touch of toastiness. The flavors mirror aromas with well-integrated tannins and sweet fruitiness.  The wine is smooth and well-balanced with a long, smooth finish."
928,Willam Jalks Moynes Estaleet Andess Cabernet Sauvivignon 2013,Red Wine,Cabernet Sauvignon,Chile,"Deep garnet with ruby reflections. Rich nose with black cherries and blackberries, followed by aromas of black pepper, coffee, tobacco, tobacco leaf and sweet spices.  Smooth tannins on the palate, well balanced with acidity, a long, persistent finish."
929,Altafi Pagsasence Laureo 2015,Red Wine,Other Red Blends,Spain,"Pagsasence Laureo is a wine of very good concentration. A blend of Garnacha and Carignan, it shows freshness and freshness of ripe fruit on the nose. On the palate it is smooth and round with sweet tannins. The overall impression is a wine of great elegance and fruit."
930,Chateau La Pas Colamz Lastanns Premier Cru 2014,Red Wine,Pinot Noir,"Colchagua Valley, Rapel Valley, Chile","A vibrant and fresh wine with intense aromas of red fruits, spices, vanilla, and a hint of leatherurtle. The mouthfeel is fresh and juicy with silky tannins. The wine is well-balanced with acidity and good structure."
931,Montangelott d'Arti Cephalet Frenit Pinon Noir 2015,Red Wine,Pinot Noir,"Willamette Valley, Oregon","Aromas of strawberry, cherry, and violet lead to flavors of blackberry, mineral, and sweet spice. The mouthfeel is soft, round, and full, with well-balanced acidity. The finish is long with lingering flavors of cherry, mineral, and sweet spice."
932,Honsch Cabernet Fabinan 2014,Red Wine,Bordeaux Red Blends,"Napa Valley, California","In 2014, the winemaker chose grapes from vineyards that were grown in the Napa Valley’s Napa Valley, Sonoma Valley, Carneros, and Oakville.  Aromas of red and black fruits dominate with aromas of dark chocolate, blackberry, and cherry.  The mouthfeel is generous and soft with balanced acidity.  The finish is round and lingering with smooth tannins.  The 2014 vintage is a wonderful combination of fruit with a silky mouthfeel.  The blend of Merlot, Cabernet Sauvignon, and Syrah is composed of 23% of the blend, yielding a wine with more structure, richness, and flavor.  The wine is full-bodied with flavors of ripe, dark fruits and spice, balanced by the softness of the tannins."
933,Kenter Winery Shiraz 1997,Red Wine,Syrah/Shiraz,Australia,"This Shiraz is rich and flavorful with ripe, spicy fruit flavours and a hint of pepper.  The mouthfeel is soft and full with well-balanced acidity, sweet tannins and a catfishy quality, which adds to the complexity of the wine.  The wine has good length of flavor and an excellent balance between sweetness and acidity."
934,Tatos de Dian Colassio du Roryo Rosef Merlot 2017,Pink and Rosé,Rosé,Spain,"Bright pink in color with violet hues. Fresh aromas of red fruit, citrus, and mineral notes. Well-balanced acidity with good volume. Flavors mirror aromas with a hint of sweetness.  .     fermentation at a temperature of 8°C. Bottled unfined, unfiltered."
935,Ruveria Chandonnia Blanco Odivo Bruchioni Pruvessicera 2014,White Wine,Chardonnay,"Chablis, Burgundy, France","The wine is pale yellow in color with green tints. The nose is very expressive with notes of fresh citrus and peach and almond. The mouthfeel is well balanced with round and well-rounded tannins. The finish is long, balanced and fruity."
936,Davea Merlot 2003,Red Wine,Merlot,"Central Coast, California","The 2003 Davea Merlot is medium ruby in color with a hint of garnet. The aromas offer ripe cherry, blueberry and toasted oak, and a touch of earthiness. The mouthfeel is soft and supple, with bright acidity and sweet, round tannins. The finish is long and smooth, with flavors of ripe cherry, currant and oak.  We suggest matching this classic wine with grilled and grilled fish, lamb, veal and roast vegetables. Enjoy now through 2008."
937,T Oritonwon Vineyard Calen Chardonnay 2000,White Wine,Chardonnay,Chile,"This Chardonnay has an attractive yellow color with greenish tones and a delicate aroma hauled by honey, pear and vanilla.  The taste is medium-bodied with excellent balance between sugar and acidity.  The acidity is good, the palate is crisp, fresh and fruity, and the aftertaste is well-balanced and pleasing."
938,REEvener Vineyards ba apomftine Sangie Winery Chardonnay 2015,White Wine,Chardonnay,"Mendocino Ridge, Mendocino, California","Rich and fruity aromas of pear, peach and honeydew. The mouth feel is round with creamy, juicy flavors of pear, and a touch of citrus and mineral. Flavors mirror aromas with a touch of butter and vanilla undocumented by oak. The finish is long with refreshing acidity and lingering flavors of mineral, citrus and pear.  Serve well-chilled, or chilled."
939,Chateau Gregas Bonsacon Blaesrico 1991,Red Wine,Other Red Blends,"Bordeaux, France","The Bonscégégétif is a blend of 90% Merlot and 10% Cabernet Sauvignon, the Merlot being the backbone and Cabernet being the middle-weight.  The resulting wine is a blend of deep ruby and black, with aromas of ripe fruit, chocolate, vanilla, cedar and spice.  The wine is full-bodied and soft, with a long finish."
940,C Taminar Blanco Lasco Ridge Cabernet Sauvignon 2015,Red Wine,Cabernet Sauvignon,"Colchagua Valley, Rapel Valley, Chile","Lacé is deep ruby red in color with aromas of red and black fruit, such as cherry, _blackcurrant and blackberries, and sweet spices such as pepper, clove and sweet spices. essays of vanilla, cinnamon and caramel give complexity. A well-balanced mouthfeel, soft tannins, good acidity and a long and pleasant finish. The wine is aged in French oak barrels for 9 months before bottling."
941,Noln.ser Merina Pinet Noir 1997,Red Wine,Pinot Noir,"Willamette Valley, Oregon","This medium bodied wine has aromas of cherry, strawberry and floral tones, with hints of anise, vanilla and a hint of earthiness.  The flavors mirror aromas with nuances of ripe fruits, strawberries and cherries, followed by a touch of toasty oak.  The mouth feel is round and soft with soft, round tannins and good acidity.  The finish is long, lingering on the palate."
942,Carfleika Sauvignot Blanc 2012,White Wine,Sauvignon Blanc,Chile,"The 2012 Carfleika Sauvignon Blanc is straw yellow with green tones. Aromas of citrus and melon with an herbal tone. Flavors mirror aromas with mineral, mineral, grapefruit, and fresh herb notes. This wine is a fresh wine with balanced acidity, mineral, and freshness."
943,Clara Sania Pinot Noir 2027,Red Wine,Pinot Noir,"Santa Maria Valley, Central Coast, California","The wine is a vibrant garnet in color with ripe aromas of cherry and blueberry, currant, and floral notes. The flavors mirror aromas with an addition of vanilla and black cherry, with just a hint of barrel toast and toastiness from the French oak. The mouthfeel is round and generous, with bright acidity providing good balance and a long, smooth finish. The tannins are soft and well-integrated with the acidity. The wine is approachable now, and will cellar well for up to five years. Pair with grilled fish and vegetable risotto, grilled tuna, or roasted vegetables. Serve well-chilled."
944,Bodegas de Campone Chagnecian 2007,Red Wine,Bordeaux Red Blends,,
945,Nott Hill Vineyard Syrah 2014,Red Wine,Syrah/Shiraz,"Yamhill-Carlton District, Willamette Valley, Oregon","This is a wine with a deep purple color, aromas of ripe red fruits, mineral, pepper and roasted meat, with underlying aromas of flowers, vanilla and cedar. The mouthfeel is medium bodied with soft, round tannins, balanced acidity and a long, smooth finish."
946,Bodegas Sone Hilly Priliaso Chardonnay 2005,White Wine,Chardonnay,"Central Coast, California","The nose is intense with ripe pear, pineapple and citrus aromas. The mouthfeel is medium-bodied with bright acidity and pleasingly creamy texture with flavors of tropical fruits, apple and buttery toast.  fermentation in French oak, sur-lies aging on the lees in barrel, and partial malo-lactic fermentation."
947,Terrani Springs Nora Vineyard Sauvignon Blanc 2001,White Wine,Sauvignon Blanc,"Central Coast, California","The wine shows great balance and elegance with crisp acidity, yet it is more lush than usual with notes of citrus and melon.  The finish is long with a touch of minerality. ,   acidity, fruit, and floral character arerysocated to have come from the Carneros and Monterey appellations.   The wine shows tremendous freshness, with lingering flavors of ripe melon, pineapple and apricot.  The wine is a perfect match for shellfish in cream sauce, seafood pasta, and most Asian dishes."
948,Lenmb Edoh Reserve Cabernet Sauvignon 2004,Red Wine,Cabernet Sauvignon,"Napa Valley, California","In the mouth, the wine is supple and elegant with rich, ripe fruit flavors.  A touch of oak, sweet tobacco, and a touch of minerality, and a hint of vanilla, linger on the palate.  The wine has well-balanced tannins and acidity.  The finish is long with lingering flavors of fruit, spice, and vanilla.  The wine can be cellared for up to five years, and will continue to improve over the next 5 to 7 years."
949,Waltrin Nabella Creak Pinot Grigio 2017,White Wine,Pinot Gris/Grigio,"Collio Goriziano, Friuli-Venezia Giulia, Italy","A crisp and refreshing wine with aromas of pear and green apple, as well as hints of citrus, flint and mineral notes. Well-balanced and fresh, with good acidity and a dry and mineral finish. Serve well-chilled, and lightly chilled, especially when young."
950,Goenla Zonatti 2004,Red Wine,Other Red Blends,Italy,"The name obliterates with an attractive ruby color. The aroma is intense and fruity, with slight hints of vanilla, tobacco, leather, and coffee. The taste is full-bodied, with well-balanced acidity, well-integrated oak, sweet tannins and good length."
951,Guigali Malbectiove Rosso 2014,Red Wine,Other Red Blends,"Sicily, Italy","This wine is ruby red in color with aromas of blackberries, cherries and violets. The flavor is warm and round, with the aromas echoing the aromas. The mouthfeel is soft, smooth, with soft tannins and a very pleasant aftertaste."
952,Varia Flodiaobon Cadef 2016,White Wine,Cabernet Sauvignon,"Tuscany, Italy","The nose is intense, fresh and elegant with hints of pear, white peach, citrus and an attractive hint of sweet tobacco. The mouthfeel is dry and fresh, with good body, rich and balanced with mineral and mineral notes. The finish is long and pleasant."
953,Bawos Ney Famel Jungino Fume (375ML half-bottle) 2006,White Wine,Sauvignon Blanc,Chile,"The name 'Fumé' means white wine in Spanish, and that is indeed a typical trait of the wine.  Fumé is an aromatic wine with freshness and complexity, it has good balance between sweetness and freshness, with a very good acidity.  It is a very well-rounded wine with mineral and fruit flavors.  It is an excellent food companion.  The perfect pairing for the wine is as an aperitif and a good food companion to fish.  It also goes well with grilled white fish, especially Northwest Salmon, poultry dishes with light sauces and vegetables.  This wine is an excellent companion for Mediterranean and spicy foods."
954,Reviert Ennailay Evaleha Valpuvlio I Briegeroso d'Alba,White Wine,Chardonnay,"Alba, Piedmont, Italy","The color is bright and pale. The bouquet is fresh and persistent with floral tones, peach and citrus. The flavor is pleasant and full-bodied, fruity, warm and warm and round with nice acidity, well-balanced and well-balanced and well-rounded with pleasant, balanced and pleasant, very pleasant and very persistent finish."
955,200.,Red Wine,Pinot Noir,"Napa Valley, California","Our 2010 Pinot Noir is a bright ruby garnet in color, and has a pretty nose of black cherries, strawberries, and strawberries, and a touch of oak. The mouth feel is full and supple, with round tannins and a long, silky, fruity finish. We suggest matching this wine's aromas and flavors with a variety of food pairings, especially those with strong flavors and aromasDateable to a wide variety of cuisines. This wine will improve in the cellar for the next 3-4 years."
956,Cordontiong Estate's Redervy Pietra Pelpem Winery 2016,Red Wine,Bordeaux Red Blends,"Paso Robles, Central Coast, California","The 2016 Pietra Pelpem is an easy drinking, yet well-balanced, everyday wine that is well-suited to a wide variety of cuisine.  On the nose, this wine opens with aromas of black cherries,ulia-laced blackberries, and sweet vanilla.  On the palate, this wine offers flavors of black cherries, dark berries, and spice, and finishes with medium tannins.  The 2016 Pietra Pelpem is well-suited to a wide range of cuisines from grilled fish, chicken, roast veal, and roast chicken with truffles and creamy sauces."
957,Wills Familo Rose Baroba Valpolictigiere 2007,Pink and Rosé,Rosé,Chile,"This wine offers an elegant and very attractive Rose color. On the nose it is fresh andesteemably fruity with notes of strawberry, raspberry and floral aromas. It is well-balanced and fresh in the mouth with a crisp acidity. , The wine is bright, dry and medium-bodied with a pleasant finish. This is a very versatile wine with excellent flavor, balance and freshness."
958,Luguos Estates Vineyard Merlot 2005,Red Wine,Merlot,Chile,"This is a deep, ruby-red colored wine with a distinct aroma profile of cherry and blueberry with notes of violet and floral tones. The palate is soft and round with excellent balance between fruit sweetness, acidity, and tannins. A well-rounded wine with good structure.  The finish is fresh, fruity and fresh with good length and lingering taste.  This wine can be enjoyed now and over the next 1-2 years."
959,Annbech Edulia Mercoliowe Piozane Siea Palley Merlot 2007,Red Wine,Merlot,Chile,"Deep ruby-red with a hint of violet. The nose is complex with aromas of black fruits, black cherries, plums, vanilla, and spice. The mouthfeel is rich and soft with round and well-rounded tannins. The wine has a well-balanced acidity, good structure, and a long, persistent finish. The wine is ready to drink now, and will cellar well for up to five years. Serve well-chilled and allow to warm inorders."
960,Vhilly Luttite Nobissol Russier Fremin Chardonnay 2003,White Wine,Chardonnay,"Burgundy, France","A generous, voluptuous wine with good intensity, color, and complexity.  It is very attractive in the glass with a good nose.  The mouth is soft and full of ripe fruit.  The overall impression is one of great length and complexity.   The structure of the wine is pleasing and well- ambited with a great balance between sweetness and acidity.  The overall impression is fresh and elegant with a clean, long finish.  It is very easy to drink now."
961,Triabf Cabernet Sauvignon 2014,Red Wine,Cabernet Sauvignon,,"Aromas of blackberries, plum, and currants with floral tones. Flavors mirror aromas with fresh red fruits and ripe cherries. The entry is soft and round with well-balanced acidity and sweet tannins. The mid-palate shows bright acidity with lingering flavors of cherries, cassis, and ripe berries. The finish is long with lingering flavors of fruit andDT"
962,Enkec Ranch Sauvignon Blanc 2017,White Wine,Sauvignon Blanc,"Arroyo Seco, Monterey, Central Coast, California","This wine is light straw in color. On the nose, tropical fruits, guava, and papaya with hints of passion fruit, lemon zest, and lychee. On the palate, there are flavors of fresh lime, grapefruit, and gooseberry with a hint of flinty mineral tones. The finish is long and balanced, with refreshing acidity. The wine is ready to drink now and will cellar well over the next two to three years."
963,Vatzibade Zatoz 1999,White Wine,Zinfandel,Austria,"The vineyards are the most concentrated in the whole appellation.  The grapes for the wine are grown in the Vatzibade vineyards, in the villages of Säz, Telschein, Riebeek, Ried, Geller, Hirsch, Schleug and Kirka.  The grapes are harvested separately and then pressed and then matured in French oak for 12 months.  The wine is then assembled without chosen oak aging.  It is an excellent food companion.  It can be drunk as an aperitif or with a wide variety of foods, especially fish, chicken, veal, pasta, white meats, and grilled vegetables.  The wine can also be served slightly chilled."
964,Vinuges Cabernet Sauviggon 2014,Red Wine,Cabernet Sauvignon,"Maipo Valley, Chile","The 2014 Vinuges Cabernet Sauvignon is an attractive and well-structured wine. It has an attractive ruby red color with purple tones. The nose offers a wide range of aromas including ripe fruits such as blackberries and cherries, with aromas of vanilla and cedar. On the palate, it is round, soft and well-balanced, with round and well-integrated tannins. The finish is long and smooth, showing sweet, round, balanced acidity. The wine is well-rounded and balanced."
965,Welfyond Estates Cabernet Sauvignon 1987,Red Wine,Cabernet Sauvignon,"Napa Valley, California","Aromas of ripe plum, blackberry, and cassis with attractive sweet oak and vanilla oak. Flavors mirror aromas with well-balanced acidity, sweet tannins, and a lingering finish.  This wine is ready to drink now and will cellar well for 5-8 years.  Enjoy this wine now or cellar for 5-8 years."
966,Balbero Roese Blanc di Zallondle) 2015,White Wine,Other White Blends,"Roero, Piedmont, Italy","This wine is the ideal accompaniment for seafood, especially shellfish and fish in sauces. A perfect wine for an hour and a half before dinner, it is also an excellent aperitif. Serve well chilled.  The nose is fruity and intense, with ripe tropical aromas and floral tones. The mouth is well-balanced and smooth.  The finish is long, fruity and well-balanced.  The wine is made from 90% Cabernet Sauvignon, 5% Malbec and 5% Sauvignon Blanc.  The wine was fermented in stainless steel and then aged in stainless steel tanks.  The wine is ready to drink now and will cellar well for 2- 3 years."
967,Jean Rouge-Barc Blans Pafeullamelles Rouno Clantaol Lato d'Stola Gaintau Reserva Civas Las Pinot Blanc 2001,White Wine,Other White Blends,Spain,"The wine is a straw yellow color with green tones.  On the nose it is very clean with good concentration.  The mouth is smooth, round and balanced.  On the palate it is very round with a very long finish."
968,Chateau Sauvignon Blanc Cuvee Prochermause Syraha 2007,White Wine,Sauvignon Blanc,Chile,"This classic Burgundy-inspired Sauvignon Blanc is bright, artistsically styled and is a perfect wine to enjoy in the pool, beach or poolside.  The flavors mirror aromas with refreshing aromas of grapefruit and pear that are complemented by mineral and mineral notes.  On the palate, the wine is crisp, refreshing and balanced with a pleasant acidity.   It is a refreshing wine that is well-suited to seafood, salads, and dishes with cream sauces.  Serve slightly chilled."
969,Vetaive Sauvignon Blanc 1998,White Wine,Sauvignon Blanc,Chile,"Vetaive is a crisp and refreshing wine with tropical fruit flavors and crisp acidity.  The wine is medium-bodied with a pleasingly sweet finish.  This is an excellent aperitif and also matches well with seafood, pasta dishes and cream based sauces."
970,Bielle Sauvignon Rone Napa Montagni 2012,White Wine,Sauvignon Blanc,"Napa Valley, California","Pale gold in color, with light green tinges. Fruity aromas of grapefruit, lees, flint, and spice. Flavors mirror aromas with juicy flavors of grapefruit, lemon, and melon with notes of minerality, flint, and citrus. The mouthfeel is round with good acidity and crisp, mineral-driven acidity, which leads to a long, mouthwatering finish."
971,Clasche Sauvignon bortay di Pinot Blion 2018,White Wine,Sauvignon Blanc,"Collio Goriziano, Friuli-Venezia Giulia, Italy","The 2018 Sauvignon Blanc di Piedra is pale yellow with greenish reflections. The nose is very aromatic with citric notes of lime and gooseberries, citrus fruits with hints of citric, and a touch of flowery tones. The mouth is pleasant, soft and well-rounded with a long, fresh and persistent finish. It is an excellent wine to pair with shellfish and white meats."
972,Laefice Malbeco 2011,Red Wine,Malbec,Argentina,"Intense garnet red with intense aromas of fresh red fruits, spices and sweet tobacco. The flavor is very fruity, with round and soft tannins..  of  with a spicy touch. The tannins are well-integrated, fresh and well-balanced. This is a wine with a nice mouthfeel and an elegant finish."
973,Bteem Alaive Blanc 2016,White Wine,Other White Blends,South Africa,"The 2016 vintage of the wine is pale straw in color. The nose is lifted and fresh with aromas of pear, white peach, and citrus. The palate is fresh and zesty with flavors of fresh pear and grapefruit, well-integrated oak, and a creamy texture. This wine is very drinkable now, and will cellar well for up to three years. Enjoy now or cellar for up to five years."
